"Informazioni cronologiche","Come valuti la chiarezza dell' infografica?","Come valuti l'utilità dell'infografica?","Quanto valuti la bellezza dell'infografica?","Come valuti l'intuitività dell'infografica?","Quanto è stata informativa l'infografica?"
"2020/01/11 6:04:35 PM CET","4","6","2","6","2"
"2020/01/12 10:43:10 AM CET","3","5","2","6","1"
